,filename,survey,order_in_survey,base_name,text,Flesch_reading,trustworthy,lively,natural,boring,empathetic,respectful,cold,attractive,polite,engaging
137,2_M_intensity_medium_pitch_medium_rate_medium.wav,6,3,2_M_intensity_medium_pitch_medium_rate_medium,2,88.74,0.6329215480484162,0.29047151151174605,0.8870595973197599,-1.376537872734885,0.03152572079851864,0.811567579415916,-0.9653767086466436,0.4052141567695582,0.6329215480484162,0.6565176135094078
138,4_M_intensity_x-soft_pitch_high_rate_medium.wav,6,4,4_M_intensity_x-soft_pitch_high_rate_medium,4,87.72,0.26206770460887074,0.29047151151174605,0.029552571888129264,-1.5523493115708906,-0.14909345947937053,0.2649022971403649,-1.737776233290663,0.10504458979197331,0.44749462632864345,0.21497949360790197
139,5_M_intensity_x-soft_pitch_low_rate_medium.wav,6,5,5_M_intensity_x-soft_pitch_low_rate_medium,5,95.17,0.26687544605075425,-0.3316857886676491,0.26687544605075425,-1.507234249480311,-0.40039691621922024,0.3355865736023254,-1.507234249480311,0.0794753754205922,-0.14428571803748697,-0.10114380485729697
140,7_M_intensity_medium_pitch_medium_rate_medium.wav,6,6,7_M_intensity_medium_pitch_medium_rate_medium,7,95.67,0.452302367770527,0.03916805477189632,0.8918673387616435,-1.507234249480311,-0.22458547738321455,1.067678777597649,-1.376537872734885,0.9106556627807516,0.19619116958879376,0.10985233123385685
141,6_M_intensity_medium_pitch_high_rate_slow.wav,6,7,6_M_intensity_medium_pitch_high_rate_slow,6,97.7,0.402379564238064,0.7064404170418708,0.40718730567994754,-1.737776233290663,-0.21977773594133104,0.8870595973197599,-1.507234249480311,0.29047151151174605,0.37681034986668294,0.4758984332315187
142,8_M_intensity_medium_pitch_low_rate_fast.wav,6,8,8_M_intensity_medium_pitch_low_rate_fast,8,92.12,0.015571989310904621,0.29047151151174605,0.19619116958879376,-1.507234249480311,-0.4052046576611037,0.452302367770527,-0.6094199033999844,-0.010754748760566635,0.402379564238064,0.452302367770527
143,10_M_intensity_x-soft_pitch_medium_rate_medium.wav,6,9,10_M_intensity_x-soft_pitch_medium_rate_medium,10,94.66,0.402379564238064,0.2649022971403649,0.4758984332315187,-1.923203155010436,-0.4052046576611037,0.8870595973197599,-1.507234249480311,0.2197872350497855,0.6329215480484162,0.6565176135094078
144,9_M_intensity_x-soft_pitch_high_rate_slow.wav,6,10,9_M_intensity_x-soft_pitch_high_rate_slow,9,95.67,0.8183484697681888,0.2197872350497855,0.1462683660563308,-1.742583974732547,-0.14909345947937053,0.8183484697681888,-1.3266150692024221,0.4052141567695582,0.6329215480484162,0.5858333370474473
145,7_F_intensity_medium_pitch_high_rate_fast.wav,6,11,7_F_intensity_medium_pitch_high_rate_fast,7,95.67,0.44749462632864345,0.2856637700698625,0.3355865736023254,-1.3218073277605384,-0.14909345947937053,0.445521477418254,-1.507234249480311,0.5897246228736692,0.03152572079851864,0.445521477418254
146,1_F_intensity_x-loud_pitch_medium_rate_medium.wav,6,12,1_F_intensity_x-loud_pitch_medium_rate_medium,1,79.77,0.8135407283263053,0.5858333370474473,1.067678777597649,-1.6926611712000839,0.03152572079851864,1.067678777597649,-1.2315772035793795,0.6801136789703994,0.5878064859578367,0.9969945011356887
